label,roll,pitch,yaw,gx,gy,gz,ax,ay,az,flex0,flex1,flex2,flex3,flex4,index_inside,middle_fingerprint,middle_inside_to_ring,ring_tape
D,-7.745412825329826,18.947911968164032,-0.9940202579504372,2.3594118267843944,0.3340134379287295,0.661624511907693,-0.931396484375,-0.196044921875,-0.031494140625,681,668,1022,1023,918,0,0,0,0
D,-7.7632102329925905,18.993684715192668,-1.000956639156147,-0.7856263411545368,1.089738628768424,-0.2467724346571924,-0.926513671875,-0.19970703125,-0.02978515625,687,665,1023,1023,919,0,0,0,0
D,-7.764774164429741,19.02731466252648,-0.9988776095633254,0.4586484680057686,-0.2461392338269956,0.4020825271748686,-0.9453125,-0.178466796875,-0.046630859375,684,665,1022,1021,916,0,0,0,0
D,-7.753826608095122,19.06155460772968,-0.9923127336314724,1.5807858725859214,-0.2385056460407361,0.8371970309916625,-0.947998046875,-0.184814453125,-0.03369140625,686,665,1023,1023,917,0,0,0,0
D,-7.769138630758767,19.100522346585763,-0.9991762287754216,-0.6024202342843077,0.4027157280050654,-0.353642663664826,-0.934326171875,-0.18359375,-0.0302734375,686,662,1023,1023,918,0,0,0,0
D,-7.763745333025098,19.144259195743107,-0.9928579610606107,1.1151370176240891,0.7233264150279661,0.9746016111443342,-0.9345703125,-0.205078125,-0.03662109375,685,667,1020,1022,919,0,0,0,0
D,-7.801698110133351,19.175536775356807,-0.994232594024692,-3.045168325887361,-0.4293453406972247,0.058571076793189,-0.936279296875,-0.182861328125,-0.050537109375,686,666,1023,1023,917,0,0,0,0
D,-7.807850395021206,19.208040787465663,-0.9873449601021655,-0.1444049671087351,-0.4140781651247056,0.844830618777922,-0.933349609375,-0.18115234375,-0.034912109375,683,663,1021,1023,919,0,0,0,0
D,-7.802686090558657,19.25353391996837,-0.9812627137859444,1.0082667886164556,0.8836317585394166,0.944067259999296,-0.927734375,-0.179931640625,-0.016845703125,686,664,1022,1023,920,0,0,0,0
D,-7.815526127280653,19.288093321800456,-0.9807944924773894,-0.6253209976430862,-0.1316354170331025,0.2646779470221968,-0.9404296875,-0.176025390625,-0.037109375,688,661,1022,1021,917,0,0,0,0
D,-7.809986712225105,19.338505411818616,-0.9719066729624584,0.9471980863263794,1.3340134379287294,1.2723115348084564,-0.92724609375,-0.17724609375,-0.034912109375,685,664,1023,1023,915,0,0,0,0
D,-7.822208296342219,19.37010786291632,-0.9718523159143084,-0.5260843564217124,-0.4140781651247056,0.1959756569458608,-0.935546875,-0.181396484375,-0.0419921875,685,662,1023,1021,915,0,0,0,0
D,-7.829897967076864,19.41223749170274,-0.971061622544225,-0.113870615963697,0.6164561860203326,0.4020825271748686,-0.93310546875,-0.176025390625,-0.04638671875,684,661,1021,1022,917,0,0,0,0
D,-7.838195838313071,19.44784539867284,-0.9735649773366548,-0.0680690892461397,0.0134027509058287,0.0051359622893722,-0.95068359375,-0.1796875,-0.031494140625,685,665,1022,1021,918,0,0,0,0
D,-7.846722320847767,19.485819334781183,-0.9737562866508768,-0.1596721426812541,0.2195096211348363,0.2570443592359372,-0.9345703125,-0.17822265625,-0.040771484375,683,662,1022,1022,917,0,0,0,0
D,-7.840070287577026,19.53842342122883,-0.969913186877548,1.2525415977767609,1.624089773806592,0.844830618777922,-0.922607421875,-0.18505859375,-0.023681640625,683,664,1023,1023,915,0,0,0,0
